```toon
entrees[30]{id,nom,description,prix,allergenes}:
  1,Salade de crudités,"Carottes râpées, betteraves, vinaigrette maison",8.5,""
  2,Soupe de légumes du soleil,"Courgettes, poivrons, tomates, basilic frais",7.5,""
  3,Carpaccio de courgettes,"Courgettes crues en fines tranches, citron, huile d'olive",9,""
  4,Gaspacho andalou,"Soupe froide de tomates, concombres, poivrons",7,""
  5,Salade de quinoa aux herbes,"Quinoa, persil, menthe, citron vert",10,""
  6,Bruschetta tomates basilic,"Pain grillé à l'ail, tomates fraîches, basilic",9.5,gluten
  7,Nems au porc,"Galettes de riz, porc haché, légumes croquants",8,gluten
  8,Salade de chèvre chaud,"Salade verte, toast de chèvre, miel, noix",12.5,lactose
  9,Velouté de potiron,Soupe onctueuse aux graines de courge torréfiées,9,lactose
  10,Tartare de saumon à la crème,"Saumon frais, crème fraîche, ciboulette",14,lactose
  11,Salade thaï au poulet,"Poulet grillé, légumes croquants, sauce cacahuète",11,arachide
  12,Bouchées de crevettes sauce arachide,"Crevettes croustillantes, sauce satay",12,arachide
  13,Salade aux noix et roquefort,"Salade, noix, roquefort, vinaigrette au miel",11.5,fruits à coque
  14,Tartine avocat et amandes,"Pain complet, avocat, effiloché d'amandes",10.5,fruits à coque
  15,Edamams à la fleur de sel,"Fèves de soja vapeur, fleur de sel",7,soja
  16,Rouleaux de printemps au tofu,"Galettes de riz, tofu, légumes, sauce soja",9,soja
  17,Tartare de saumon,"Saumon frais, citron, aneth, câpres",14.5,poisson
  18,Rillettes de thon,"Thon émietté, citron, huile d'olive",9,poisson
  19,Cocktail de crevettes,"Crevettes roses, sauce cocktail, citron",13,crustacés
  20,Soupe de crustacés,"Bisque de crevettes, crustacés variés, croûtons",14,crustacés
  21,Salade de pommes de terre au jambon,"Pommes de terre, jambon, vinaigrette moutardée",10,moutarde
  22,Blinis au saumon fumé,"Blinis, saumon fumé, crème moutardée",12,moutarde
  23,Boulettes de viande au sésame,"Bœuf haché, graines de sésame, sauce sucrée",11,sésame
  24,Salade de concombre au sésame,"Concombre, vinaigre de riz, graines de sésame",8,sésame
  25,Assiette de charcuterie,"Jambon cru, saucisson, coppa",13.5,sulfites
  26,Vinaigre balsamique vieilli,Assortiment de pains et vinaigre balsamique,6,sulfites
  27,Salade complète au saumon,"Saumon, avocat, noix, sauce moutarde",15,poisson|fruits à coque|moutarde
